Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11
(In Millions),2026,2026,2026,2027,2028,2029,2030,Thereafter,Total,Total
Operating lease payments,$,94,,74,63,46,45,100,$,422
Finance lease payments,$,96,,6,6,3,3,19,$,133
Present value of lease payments,,,,,,,,,$,473
