Column 1,Column 2,Column 3,Column 4,Column 5
Years Ended,"Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 30, 2023"
Weighted average actuarial assumptions used to determine costs,,,,
Discount rate,4.6,%,4.5,4.9
Expected long-term rate of return on plan assets,4.8,%,5.1,5.0
Rate of compensation increase,3.4,%,3.3,3.7
