Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
,,Number of Stock Units Outstanding (In Millions),Number of Stock Units Outstanding (In Millions),Weighted Average Grant-Date Fair Value,Weighted Average Grant-Date Fair Value
"Balance as of December 28, 2024",,117.4,,$,36.52
Granted,,104.5,,$,23.73
Vested,,( 65.9 ),,$,35.08
Forfeited,,( 38.5 ),,$,29.89
"Balance as of December 27, 2025",,117.5,,$,28.12
Expected to vest,Expected to vest,102.3,,$,28.25
