Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Share-based compensation,$,"2,434",,$,"3,410",$,"3,229"
Restructuring and other charges 1,"2,191","2,191",,"6,970","6,970",( 62 ),( 62 )
Acquisition-related costs,505,505,,"1,044","1,044","1,407","1,407"
Other,388,388,,( 247 ),( 247 ),625,625
Total corporate unallocated expenses,$,"5,518",,$,"11,177",$,"5,199"
