Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Net cash provided by (used for) operating activities,$,"9,697",,$,"8,288",$,"11,471"
"Net purchase of property, plant and equipment (net capital expenditures)","(11,204)","(11,204)",,"(10,515)","(10,515)","(23,228)","(23,228)"
Payments on finance leases,(105),(105),,(1),(1),(96),(96)
Adjusted free cash flow,$,"(1,612)",,$,"(2,228)",$,"(11,853)"
Net cash provided by (used for) investing activities,$,"(14,821)",,$,"(18,256)",$,"(24,041)"
Net cash provided by (used for) financing activities,$,"11,587",,$,"11,138",$,"8,505"
