Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
(In Millions),2026,2026,2026,2027,2028,2029,2030,Thereafter,Total
Future amortization expenses,$,813,,594,449,301,216,399,"2,772"
