Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
(In Millions),"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024",Divestitures,Divestitures,Transfers,Transfers,Impairments,Impairments,"Dec 27, 2025","Dec 27, 2025"
Client Computing,$,"4,619",,$,—,$,"1,865",$,—,$,"6,484"
Data Center and AI,"7,944","7,944",,—,—,"1,001","1,001",—,—,"8,945","8,945"
Network and Edge,"2,780","2,780",,—,—,"( 2,780 )","( 2,780 )",—,—,—,—
Mobileye 1,"8,306","8,306",,—,—,—,—,—,—,"8,306","8,306"
Altera,781,781,,( 781 ),( 781 ),—,—,—,—,—,—
All Other,263,263,,—,—,( 86 ),( 86 ),—,—,177,177
Total,$,"24,693",,$,( 781 ),$,—,$,—,$,"23,912"
