Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended ($ In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Income (loss) before taxes,$,"1,557",,$,"(11,210)",$,762
Provision for (benefit from) taxes,$,"1,531",,$,"8,023",$,(913)
Effective tax rate,98.3,98.3,%,71.6,71.6,(119.8),(119.8)
