Column 1,Column 2,Column 3,Column 4
Year Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025"
Federal taxes,$,"1,393",
State taxes,( 7 ),( 7 ),
Foreign taxes:,,,
China,276,276,
Israel,197,197,
Other foreign jurisdictions,440,440,
Total cash taxes paid,$,"2,299",
