Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
"Years Ended (In Millions, Except Per Share Amounts)","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Net revenue,$,"52,853",,$,"53,101",$,"54,228"
Cost of sales,"34,478","34,478",,"35,756","35,756","32,517","32,517"
Gross profit,"18,375","18,375",,"17,345","17,345","21,711","21,711"
Research and development,"13,774","13,774",,"16,546","16,546","16,046","16,046"
"Marketing, general, and administrative","4,624","4,624",,"5,507","5,507","5,634","5,634"
Restructuring and other charges,"2,191","2,191",,"6,970","6,970",( 62 ),( 62 )
Operating expenses,"20,589","20,589",,"29,023","29,023","21,618","21,618"
Operating income (loss),"( 2,214 )","( 2,214 )",,"( 11,678 )","( 11,678 )",93,93
"Gains (losses) on equity investments, net",514,514,,242,242,40,40
"Interest and other, net","3,257","3,257",,226,226,629,629
Income (loss) before taxes,"1,557","1,557",,"( 11,210 )","( 11,210 )",762,762
Provision for (benefit from) taxes,"1,531","1,531",,"8,023","8,023",( 913 ),( 913 )
Net income (loss),26,26,,"( 19,233 )","( 19,233 )","1,675","1,675"
Less: net income (loss) attributable to non-controlling interests,293,293,,( 477 ),( 477 ),( 14 ),( 14 )
Net income (loss) attributable to Intel,$,( 267 ),,$,"( 18,756 )",$,"1,689"
Earnings (loss) per share attributable to Intel—basic,$,( 0.06 ),,$,( 4.38 ),$,0.40
Earnings (loss) per share attributable to Intel—diluted,$,( 0.06 ),,$,( 4.38 ),$,0.40
Weighted average shares of common stock outstanding:,,,,,,,
Basic,"4,530","4,530",,"4,280","4,280","4,190","4,190"
Diluted,"4,530","4,530",,"4,280","4,280","4,212","4,212"
