Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
Year Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025"
,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,,,,,,,,,,,,,,,,
,CCG,CCG,CCG,,DCAI,DCAI,DCAI,Total Intel Products,Total Intel Products,Total Intel Products,,Intel Foundry,Intel Foundry,Intel Foundry,All Other,All Other,All Other,Corporate Unallocated,Corporate Unallocated,Corporate Unallocated,Intersegment Eliminations,Intersegment Eliminations,Intersegment Eliminations,Total Consolidated,Total Consolidated,Total Consolidated
Revenue,$,"32,228",,,$,"16,919",,$,"49,147",,,$,"17,826",,$,"3,563",,$,—,,$,"( 17,683 )",,$,"52,853",
Cost of sales and operating expenses,"22,911","22,911",,,"13,497","13,497",,"36,408","36,408",,,"28,144","28,144",,"3,299","3,299",,"5,518","5,518",,"( 18,302 )","( 18,302 )",,"55,067","55,067",
Operating income (loss),$,"9,317",,,$,"3,422",,$,"12,739",,,$,"( 10,318 )",,$,264,,$,"( 5,518 )",,$,619,,$,"( 2,214 )",
