Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
Exhibit Number,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Exhibit Number,Exhibit Description,Form,,File Number,Exhibit,Exhibit,Filing Date,Filed or Furnished Herewith
10.16 †,"Offer Letter between Intel Corporation and David A. Zinsner dated January 6, 2022",8-K,,000-06217,10.1,,1/10/2022,
10.17 †,"Offer Letter between Intel Corporation and Naga Chandrasekaran dated July 1 2 , 2024",,,,,,,X
10.18 †,Intel Corporation Executive Officer Cash Severance Policy,8-K,,000-06217,10.1,10.1,2/16/2024,
10.19 †,"Direct Funding Agreement between Intel Corporation and U.S. Department of Commerce dated November 25, 2024",10-K,,000-06217,2.2,2.2,1/31/2025,
10.20 †,"Warrant and Common Stock Agreement, dated August 22, 2025 by and between Intel Corporation and the United States Department of Commerce",8-K,,000-06217,10.1,10.1,8/25/2025,
10.21 †,"Implementing Amendment to Direct Funding Agreement, dated August 27, 2025, by and between Intel Corporation and the United States Department of Commerc e.",8-K,,000-06217,10.1,10.1,8/29/2025,
10.22 †,"Retirement and Separation Agreement between Intel Corporation and Patrick Gelsinger, dated December 1, 2024",10-K,,000-06217,10.20,10.20,1/31/2025,
10.23 †,Intel Corporation Executive Severance Plan,10-Q,,000-06217,10.3,10.3,8/2/2024,
10.24 †,"Intel Corporation Form of Restricted Stock Unit Grant Agreement under the 2006 Equity Incentive Plan (for annual performance-based RSUs granted to senior executives on or after January 1, 2025)",10-Q,,000-06217,10.1,10.1,04/25/2025,
10.25 †,"Intel Corporation Form of Restricted Stock Unit Grant Agreement under the 2006 Equity Incentive Plan (for annual RSUs granted to senior executives on or after January 1, 2025)",10-Q,,000-06217,10.2,10.2,04/25/2025,
10.26 †,Intel Corporation Form of Restricted Stock Unit Grant Agreement under the 2006 Equity Incentive Plan (for annual performance-based RSUs granted to Lip-Bu Tan),10-Q,,000-06217,10.3,10.3,04/25/2025,
10.27 †,Intel Corporation Form of Option Agreement under the 2006 Equity Incentive Plan (for annual stock options granted to Lip-Bu Tan),10-Q,,000-06217,10.4,10.4,04/25/2025,
10.28 †,"Intel Corporation Restricted Stock Unit Agreement under the 2006 Equity Incentive Plan (for new hire performance-based RSUs granted to Lip-Bu Tan on March 18, 2025)",10-Q,,000-06217,10.5,10.5,04/25/2025,
10.29 †,"Intel Corporation Option Agreement under the 2006 Equity Incentive Plan (for new hire performance-based stock options granted to Lip-Bu Tan on March 18, 2025)",10-Q,,000-06217,10.6,10.6,4/25/2025,
10.30 †,"Letter Agreement with Michelle Johnston Holthaus executed on February 28, 2025",8-K,,000-06217,10.1,10.1,2/28/2025,
10.31 †,"Offer Letter between Intel Corporation and Lip-Bu Tan dated, March 10, 2025",8-K,,000-06217,10.1,10.1,3/14/2025,
10.32 †,"Form of Limited Partnership Agreement to be entered into by and among Intel Corporation, Intel Americas, Inc., Altera Corporation, and SLP VII Gryphon Aggregator, L.P.",10-Q,,000-06217,10.2,10.2,7/24/2025,
10.33 †,"Amended and Restated Limited Partnership Agreement to be entered into by and among Intel Corporation, Intel Americas, Inc., Altera Corporation, and SLP VII Gryphon Aggregator, L.P.",10-Q,,000-06217,10.4,10.4,11/6/2025,
19.1,Intel's Insider Trading Policy,,,,,,,X
19.2,Company Procedures for Transactions in Company Securities,10-K,,000-06217,19.2,19.2,1/31/2025,
21.1,Intel Corporation Subsidiaries,,,,,,,X
