Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Deferred tax assets:,,,,,
R&D expenditures capitalization,$,"12,203",,$,"10,709"
State credits and net operating losses,"3,165","3,165",,"2,830","2,830"
Inventory,628,628,,"1,054","1,054"
Accrued compensation and other benefits,921,921,,970,970
Share-based compensation,481,481,,444,444
Litigation charge,320,320,,447,447
"Other, net","1,547","1,547",,"1,510","1,510"
Gross deferred tax assets,"19,265","19,265",,"17,964","17,964"
Valuation allowance,"( 16,402 )","( 16,402 )",,"( 13,974 )","( 13,974 )"
Total deferred tax assets,"2,863","2,863",,"3,990","3,990"
Deferred tax liabilities:,,,,,
"Property, plant and equipment","( 3,294 )","( 3,294 )",,"( 4,063 )","( 4,063 )"
Licenses and intangibles,( 466 ),( 466 ),,( 159 ),( 159 )
Unrealized gains on investments and derivatives,( 168 ),( 168 ),,( 224 ),( 224 )
"Other, net",( 51 ),( 51 ),,( 403 ),( 403 )
Total deferred tax liabilities,"( 3,979 )","( 3,979 )",,"( 4,849 )","( 4,849 )"
Net deferred tax assets (liabilities),$,"( 1,116 )",,$,( 859 )
Reported as:,,,,,
Deferred tax assets,$,570,,$,603
Deferred tax liabilities,"( 1,686 )","( 1,686 )",,"( 1,462 )","( 1,462 )"
Net deferred tax assets (liabilities),$,"( 1,116 )",,$,( 859 )
