Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Raw materials,$,993,,$,"1,344"
Work in process,"7,840","7,840",,"7,432","7,432"
Finished goods,"2,785","2,785",,"3,422","3,422"
Total inventories,$,"11,618",,$,"12,198"
