Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11
,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations,Gains (Losses) on Derivatives Recognized in Consolidated Statements of Operations
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025",,"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023","Dec 30, 2023"
Interest rate contracts,$,316,,,$,( 4 ),,$,198,
Hedged items,( 316 ),( 316 ),,,4,4,,( 198 ),( 198 ),
Total,$,—,,,$,—,,$,—,
