Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Net income (loss),$,26,,$,"( 19,233 )",$,"1,675"
"Changes in other comprehensive income (loss), net of tax:",,,,,,,
Net unrealized holding gains (losses) on derivatives,743,743,,( 555 ),( 555 ),272,272
"Actuarial valuation and other pension benefits (expenses), net",78,78,,60,60,66,66
Translation adjustments and other,3,3,,( 1 ),( 1 ),9,9
Other comprehensive income (loss),824,824,,( 496 ),( 496 ),347,347
Total comprehensive income (loss),850,850,,"( 19,729 )","( 19,729 )","2,022","2,022"
Less: comprehensive income (loss) attributable to non-controlling interests,293,293,,( 477 ),( 477 ),( 14 ),( 14 )
Total comprehensive income (loss) attributable to Intel,$,557,,$,"( 19,252 )",$,"2,036"
