Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),Location,"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024"
Operating-related grants receivables,Other current assets,$,45,,272
,Other long-term assets,$,262,,186
Capital-related grants receivables,Other current assets,$,57,,859
,Other long-term assets,$,288,,374
Capital-related refundable tax credits,Other current assets,$,"7,549",,"2,099"
