Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
United States,$,"15,757",,$,"12,994",$,"13,958"
China,"12,694","12,694",,"15,532","15,532","14,854","14,854"
Singapore,"9,535","9,535",,"10,187","10,187","8,602","8,602"
Taiwan,"7,672","7,672",,"7,804","7,804","6,867","6,867"
Other regions,"7,195","7,195",,"6,584","6,584","9,947","9,947"
Total net revenue,$,"52,853",,$,"53,101",$,"54,228"
