Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Balance at Beginning of Year,$,"13,974",,$,"3,047",$,"2,586"
Additions charged to expenses/other accounts,"2,428","2,428",,"10,927","10,927",461,461
"(Deductions) recoveries, net",—,—,,—,—,—,—
Balance at End of Year,$,"16,402",,$,"13,974",$,"3,047"
