Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended,"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Estimated values,$,23.73,,$,39.51,$,28.92
Risk-free interest rate,3.9,3.9,%,4.7,4.7,4.7,4.7
Dividend yield,—,—,%,1.2,1.2,1.6,1.6
Volatility,47,47,%,36,36,36,36
