Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
Years Ended ($ In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023","Dec 30, 2023"
Revenue,$,"17,826",,$,"17,317",,$,"18,504",
Cost of sales and operating expenses,"28,144","28,144",,"30,608","30,608",,"25,587","25,587",
Operating loss,$,"(10,318)",,$,"(13,291)",,$,"(7,083)",
Operating loss %,(58)%,(58)%,(58)%,(77)%,(77)%,(77)%,(38)%,(38)%,(38)%
