Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Interest income,$,"1,007",,$,"1,245",$,"1,335"
Interest expense,"( 1,091 )","( 1,091 )",,"( 1,034 )","( 1,034 )",( 878 ),( 878 )
Gain (loss) on mark-to-market of Escrowed Shares,"( 1,796 )","( 1,796 )",,—,—,—,—
Gain on divestiture of Altera,"5,553","5,553",,—,—,—,—
"Other, net",( 416 ),( 416 ),,15,15,172,172
"Total interest and other, net",$,"3,257",,$,226,$,629
