Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
Year Ended (In Millions),"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024"
,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,Intel Products,,,,,,,,,,,,,,,,
,CCG,CCG,CCG,,DCAI,DCAI,DCAI,Total Intel Products,Total Intel Products,Total Intel Products,,Intel Foundry,Intel Foundry,Intel Foundry,All Other,All Other,All Other,Corporate Unallocated,Corporate Unallocated,Corporate Unallocated,Intersegment Eliminations,Intersegment Eliminations,Intersegment Eliminations,Total Consolidated,Total Consolidated,Total Consolidated
Revenue,$,"33,346",,,$,"16,125",,$,"49,471",,,$,"17,317",,$,"3,601",,$,—,,$,"( 17,288 )",,$,"53,101",
Cost of sales and operating expenses,"21,752","21,752",,,"14,711","14,711",,"36,463","36,463",,,"30,608","30,608",,"3,658","3,658",,"11,177","11,177",,"( 17,127 )","( 17,127 )",,"64,779","64,779",
Operating income (loss),$,"11,594",,,$,"1,414",,$,"13,008",,,$,"( 13,291 )",,$,( 57 ),,$,"( 11,177 )",,$,( 161 ),,$,"( 11,678 )",
