Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
(In Millions),2025 Restructuring Program,2025 Restructuring Program,2025 Restructuring Program,2024 Restructuring Program,2024 Restructuring Program,2024 Restructuring Program,2022 Restructuring Program,2022 Restructuring Program,2022 Restructuring Program
"Accrued balance as of December 31, 2022",$,—,,$,—,,$,873,
Accruals and adjustments,—,—,,—,—,,222,222,
Cash payments,—,—,,—,—,,"( 1,013 )","( 1,013 )",
"Accrued balance as of December 30, 2023",—,—,,—,—,,82,82,82
Accruals and adjustments,—,—,,"2,306","2,306",,—,—,
Cash payments,—,—,,"( 2,004 )","( 2,004 )",,( 82 ),( 82 ),
"Accrued balance as of December 28, 2024",—,—,,302,302,302,—,—,
Accruals and adjustments,"1,450","1,450",,265,265,,—,—,
Cash payments,"( 1,033 )","( 1,033 )",,( 541 ),( 541 ),,—,—,
"Accrued balance as of December 27, 2025",$,417,,$,26,,$,—,
