Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Net cash provided by (used for) operating activities,$,"9,697",,$,"8,288",$,"11,471"
Net cash provided by (used for) investing activities,"(14,821)","(14,821)",,"(18,256)","(18,256)","(24,041)","(24,041)"
Net cash provided by (used for) financing activities,"11,587","11,587",,"11,138","11,138","8,505","8,505"
Net increase (decrease) in cash and cash equivalents,$,"6,463",,$,"1,170",$,"(4,065)"
