Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
(In Millions),2026,2026,2026,2027,2028,2029,2030,2031 and thereafter,Total
Future debt maturities,$,"2,500",,"3,826","3,173","3,288","2,750","31,698","47,235"
