Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (in Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
"Unrealized gains (losses) on marketable equity investments, net",$,( 311 ),,$,( 218 ),$,( 99 )
"Unrealized gains (losses) on non-marketable equity investments, net 1",490,490,,92,92,17,17
Impairment charges on non-marketable equity investments,( 300 ),( 300 ),,( 347 ),( 347 ),( 214 ),( 214 )
"Unrealized gains (losses) on equity investments, net",( 121 ),( 121 ),,( 473 ),( 473 ),( 296 ),( 296 )
"Realized gains (losses) on sales of equity investments, net",$,635,,$,715,$,336
"Gains (losses) on equity investments, net",$,514,,$,242,$,40
