Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Employee severance and benefit arrangements,$,"1,790",,$,"2,481",$,222
Litigation charges and other,( 121 ),( 121 ),,858,858,( 329 ),( 329 )
Asset impairment charges,522,522,,"3,631","3,631",45,45
Total restructuring and other charges,$,"2,191",,$,"6,970",$,( 62 )
