Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Land and buildings,$,"65,395",,$,"56,544"
Machinery and equipment,"111,940","111,940",,"103,150","103,150"
Construction in progress,"34,543","34,543",,"50,418","50,418"
"Total property, plant and equipment, gross","211,878","211,878",,"210,112","210,112"
Less: Accumulated depreciation,"( 106,464 )","( 106,464 )",,"( 102,193 )","( 102,193 )"
"Total property, plant and equipment, net",$,"105,414",,$,"107,919"
