Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
,"December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 28, 2024","December 28, 2024","December 28, 2024","December 28, 2024"
(In Millions),Assets 1,Assets 1,Assets 1,,Liabilities 2,Liabilities 2,Liabilities 2,Assets 1,Assets 1,Liabilities 2,Liabilities 2
Derivatives designated as hedging instruments:,,,,,,,,,,,
Foreign currency contracts 3,$,173,,,$,49,,$,40,$,405
Interest rate contracts,—,—,,,266,266,,—,—,582,582
Total derivatives designated as hedging instruments,173,173,,,315,315,,40,40,987,987
Derivatives not designated as hedging instruments:,,,,,,,,,,,
Foreign currency contracts 3,351,351,,,278,278,,510,510,100,100
Interest rate contracts,86,86,,,116,116,,184,184,25,25
Equity contracts 4,431,431,,,6,6,,348,348,—,—
Escrowed Shares,—,—,,,"2,654","2,654",,—,—,—,—
Ireland SCIP arrangement,—,—,,,755,755,,—,—,755,755
Total derivatives not designated as hedging instruments,868,868,,,"3,809","3,809",,"1,042","1,042",880,880
Total derivatives,"1,041","1,041",,,"4,124","4,124",,"1,082","1,082","1,867","1,867"
Netted cash and non-cash collateral received or pledged,( 907 ),( 907 ),,,( 571 ),( 571 ),,( 948 ),( 948 ),"( 1,014 )","( 1,014 )"
Net derivatives,$,134,,,$,"3,553",,$,134,$,853
