Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
Years Ended (In Millions),,Location of Gains (Losses) Recognized in Income on Derivatives,"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Foreign currency contracts,,"Interest and other, net",$,261,,$,651,$,106
Interest rate contracts,,"Interest and other, net",( 66 ),( 66 ),,182,182,50,50
Escrowed Shares,,"Interest and other, net","( 1,796 )","( 1,796 )",,—,—,—,—
Other,,Various,266,266,,( 411 ),( 411 ),325,325
Total,Total,Total,$,"( 1,335 )",,$,422,$,481
