Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11
,"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024"
Year Ended ($ In Millions),CCG,CCG,CCG,,DCAI,DCAI,DCAI,Total,Total,Total
Revenue,$,"33,346",,,$,"16,125",,$,"49,471",
Cost of sales and operating expenses,"21,752","21,752",,,"14,711","14,711",,"36,463","36,463",
Operating income,$,"11,594",,,$,"1,414",,$,"13,008",
Operating margin %,35%,35%,35%,,9%,9%,9%,26%,26%,26%
