Column 1,Column 2,Column 3,Column 4,Column 5
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024"
Plans with accumulated benefit obligation in excess of plan assets:,,,,
Accumulated benefit obligation,$,888,,850
Plan assets,$,366,,348
Plans with projected benefit obligation in excess of plan assets:,,,,
Projected benefit obligation,$,"1,042",,987
Plan assets,$,366,,348
