Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023","Dec 30, 2023"
Beginning gross unrecognized tax benefits,$,"1,130",,$,"1,124",,$,"1,229",
Settlements and effective settlements with tax authorities,( 52 ),( 52 ),,( 59 ),( 59 ),,( 288 ),( 288 ),
Changes in balances related to tax position taken during prior periods,201,201,,( 8 ),( 8 ),,—,—,
Changes in balances related to tax position taken during current period,105,105,,73,73,73,183,183,183
Ending gross unrecognized tax benefits,$,"1,384",,$,"1,130",,$,"1,124",
