Column 1,Column 2,Column 3,Column 4
(In Millions),Fair Value,Fair Value,Fair Value
Due in 1 year or less,$,"9,543",
Due in 1–2 years,"8,531","8,531",
Due in 2–5 years,"6,554","6,554",
Due after 5 years,291,291,
Instruments not due at a single maturity date 1,"7,474","7,474",
Total,$,"32,393",
