Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Marketable equity investments 1,$,484,,$,848
Non-marketable equity investments,"8,028","8,028",,"4,535","4,535"
Total,$,"8,512",,$,"5,383"
