Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Exhibit Number,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Exhibit Number,Exhibit Description,Form,,File Number,Exhibit,Filing Date,Filed or Furnished Herewith
23.1,"Consent of Ernst & Young LLP, Independent Registered Public Accounting Firm",,,,,,X
31.1,Certification of the Chief Executive Officer pursuant to Rule 13a-14(a) of the Exchange Act,,,,,,X
31.2,Certification of the Chief Financial Officer pursuant to Rule 13a-14(a) of the Exchange Act,,,,,,X
32.1,Certification of the Chief Executive Officer and the Chief Financial Officer pursuant to Rule 13a-14(b) of the Exchange Act and 18 U.S.C. Section 1350,,,,,,X
97.1 †,"Intel Corporation Compensation Recoupment Policy, effective October 2, 2023",10-K,,000-06217,97.1,1/26/2024,
101,Inline XBRL Document Set for the Consolidated Financial Statements and accompanying notes in Financial Statements and Supplemental Details,,,,,,X
104,Cover Page Interactive Data File - formatted in Inline XBRL and included as Exhibit 101,,,,,,X
