Column 1,Column 2,Column 3,Column 4,Column 5
Years Ended (In Millions),"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023"
Cash paid during the year for:,,,,
"Income taxes, net of refunds",$,"2,202",,"2,621"
