Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
United States,$,"71,158",,$,"72,068"
Ireland,"17,120","17,120",,"18,152","18,152"
Israel,"10,620","10,620",,"10,414","10,414"
Other countries,"6,516","6,516",,"7,285","7,285"
"Total property, plant and equipment, net",$,"105,414",,$,"107,919"
