Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
,"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
($ In Millions),Effective Interest Rate,,Amount,Amount,Amount,Amount,Amount
Oregon and Arizona bonds 1 :,,,,,,,
"3.80% - 4.10%, due December 2035 - 2040",3.87 %,,423,423,,423,423
"5.00%, due September 2042",3.63 %,,131,131,,131,131
"4.00%, due June 2049",3.98 %,,438,438,,438,438
"5.00%, due September 2052",4.24 %,,445,445,,445,445
Total senior notes and other borrowings,,,"47,235","47,235",,"50,985","50,985"
"Unamortized premium/discount, issuance costs and other",,,( 384 ),( 384 ),,( 392 ),( 392 )
Hedge accounting fair value adjustments,,,( 266 ),( 266 ),,( 582 ),( 582 )
Long-term debt,,,"46,585","46,585",,"50,011","50,011"
Current portion of long-term debt 2,,,"( 2,499 )","( 2,499 )",,"( 3,729 )","( 3,729 )"
Total long-term debt,,,$,"44,086",,$,"46,282"
