Column 1,Column 2,Column 3,Column 4,Column 5
Years Ended,"Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 30, 2023"
Customer A,19,%,19,19
Customer B,12,%,14,11
Customer C,12,%,12,10
Total percentage of net revenue,43,%,45,40
