Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Foreign currency contracts,$,"22,740",,$,"25,472"
Interest rate contracts,"21,796","21,796",,"17,899","17,899"
Equity contracts 1,"2,689","2,689",,"2,593","2,593"
Total,$,"47,225",,$,"45,964"
