Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023"
Developed technology,$,417,,$,879,$,"1,235"
Customer relationships and brands,89,89,,165,165,172,172
"Licensed technology, patents and other",443,443,,384,384,348,348
Total amortization expenses,$,949,,$,"1,428",$,"1,755"
