Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
(In Millions),"Dec 30, 2023","Dec 30, 2023","Dec 30, 2023",Acquisitions,Acquisitions,Transfers,Transfers,Impairments,Impairments,"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024"
Client Computing,$,"4,749",,$,—,$,( 130 ),$,—,$,"4,619",
Data Center and AI,"8,721","8,721",,—,—,( 777 ),( 777 ),—,—,"7,944","7,944",
Network and Edge,"2,809","2,809",,—,—,( 29 ),( 29 ),—,—,"2,780","2,780",
Intel Foundry,—,—,,—,—,222,222,( 222 ),( 222 ),—,—,
Mobileye 1,"10,919","10,919",,—,—,—,—,"( 2,613 )","( 2,613 )","8,306","8,306",
Altera,—,—,,—,—,781,781,—,—,781,781,781
All Other,393,393,,86,86,( 67 ),( 67 ),( 149 ),( 149 ),263,263,
Total,$,"27,591",,$,86,$,—,$,"( 2,984 )",$,"24,693",
