Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
Line Items in the Consolidated Balance Sheets in Which the Hedged Item Is Included,Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Carrying Amount of the Hedged Item Assets/(Liabilities),Cumulative Amount of Fair Value Hedging Adjustment Included in the Carrying Amount Assets/(Liabilities),Cumulative Amount of Fair Value Hedging Adjustment Included in the Carrying Amount Assets/(Liabilities),Cumulative Amount of Fair Value Hedging Adjustment Included in the Carrying Amount Assets/(Liabilities),Cumulative Amount of Fair Value Hedging Adjustment Included in the Carrying Amount Assets/(Liabilities)
(In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025",,"Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Short-term debt,$,( 993 ),,,$,"( 2,214 )",,$,7,$,36
Long-term debt,"( 8,488 )","( 8,488 )",,,"( 9,201 )","( 9,201 )",,259,259,546,546
Total,$,"( 9,481 )",,,$,"( 11,415 )",,$,266,$,582
