Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
(In Millions),Unrealized Holding Gains (Losses) on Derivatives,Unrealized Holding Gains (Losses) on Derivatives,Unrealized Holding Gains (Losses) on Derivatives,Actuarial Valuation and Other Pension Expenses,Actuarial Valuation and Other Pension Expenses,Translation Adjustments and Other,Translation Adjustments and Other,Total,Total
"Balance as of December 31, 2022",$,( 299 ),,$,( 259 ),$,( 4 ),$,( 562 )
Other comprehensive income (loss) before reclassifications,3,3,,57,57,11,11,71,71
Amounts reclassified out of accumulated other comprehensive (income) loss,328,328,,33,33,—,—,361,361
Tax effects,( 59 ),( 59 ),,( 24 ),( 24 ),( 2 ),( 2 ),( 85 ),( 85 )
Other comprehensive income (loss),272,272,,66,66,9,9,347,347
"Balance as of December 30, 2023",( 27 ),( 27 ),,( 193 ),( 193 ),5,5,( 215 ),( 215 )
Other comprehensive income (loss) before reclassifications,( 652 ),( 652 ),,54,54,( 4 ),( 4 ),( 602 ),( 602 )
Amounts reclassified out of accumulated other comprehensive (income) loss,96,96,,11,11,2,2,109,109
Tax effects,1,1,,( 5 ),( 5 ),1,1,( 3 ),( 3 )
Other comprehensive income (loss),( 555 ),( 555 ),,60,60,( 1 ),( 1 ),( 496 ),( 496 )
"Balance as of December 28, 2024",( 582 ),( 582 ),,( 133 ),( 133 ),4,4,( 711 ),( 711 )
Other comprehensive income (loss) before reclassifications,748,748,,70,70,2,2,820,820
Amounts reclassified out of accumulated other comprehensive (income) loss,—,—,,26,26,2,2,28,28
Tax effects,( 5 ),( 5 ),,( 18 ),( 18 ),( 1 ),( 1 ),( 24 ),( 24 )
Other comprehensive income (loss),743,743,,78,78,3,3,824,824
"Balance as of December 27, 2025",$,161,,$,( 55 ),$,7,$,113
